
time,AccelerometerX,AccelerometerY,AccelerometerZ
0.0270,-0.4382,0.8986,0.3109
0.0270,-0.4382,0.8986,0.3109
0.0270,-0.4382,0.8986,0.3109
0.0280,-0.4399,0.9025,0.3084
0.0680,-0.4399,0.9025,0.3084
0.0680,-0.4399,0.9025,0.3084
0.0680,-0.4399,0.9025,0.3084
0.0690,-0.4389,0.8974,0.3258
0.0690,-0.4389,0.8974,0.3258
0.0690,-0.4389,0.8974,0.3258
0.0760,-0.4389,0.8974,0.3258
0.0760,-0.4389,0.8974,0.3258
0.0770,-0.4389,0.8974,0.3258
0.0770,-0.4389,0.8974,0.3258
0.0780,-0.4458,0.9042,0.3602
0.0780,-0.4514,0.9130,0.3084
0.1040,-0.4514,0.9130,0.3084
0.1040,-0.4514,0.9130,0.3084
0.1050,-0.4514,0.9130,0.3084
0.1050,-0.4436,0.8972,0.3094
0.1240,-0.4436,0.8972,0.3094
0.1260,-0.4436,0.8972,0.3094
0.1260,-0.4436,0.8972,0.3094
0.1260,-0.4331,0.8815,0.3365
0.1260,-0.4331,0.8815,0.3365
0.1540,-0.4331,0.8815,0.3365
0.1550,-0.4331,0.8815,0.3365
0.1550,-0.4331,0.8815,0.3365
0.1550,-0.4355,0.8774,0.3402
0.1560,-0.4475,0.8906,0.3270
0.1840,-0.4475,0.8906,0.3270
0.1840,-0.4475,0.8906,0.3270
0.1840,-0.4475,0.8906,0.3270
0.1850,-0.4577,0.8994,0.3167
0.2050,-0.4577,0.8994,0.3167
0.2050,-0.4577,0.8994,0.3167
0.2060,-0.4577,0.8994,0.3167
0.2060,-0.4553,0.8913,0.3219
0.2070,-0.4553,0.8913,0.3219
0.2340,-0.4553,0.8913,0.3219
0.2340,-0.4553,0.8913,0.3219
0.2340,-0.4553,0.8913,0.3219
0.2350,-0.4541,0.8742,0.3148
0.2350,-0.4538,0.8725,0.3370
0.2640,-0.4538,0.8725,0.3370
0.2650,-0.4538,0.8725,0.3370
0.2650,-0.4538,0.8725,0.3370
0.2650,-0.4541,0.8871,0.3480
0.2740,-0.4541,0.8871,0.3480
0.2850,-0.4541,0.8871,0.3480
0.2850,-0.4541,0.8871,0.3480
0.2850,-0.4541,0.8871,0.3480
0.2860,-0.4485,0.9082,0.3370
0.2860,-0.4485,0.9082,0.3370
0.3140,-0.4485,0.9082,0.3370
0.3140,-0.4485,0.9082,0.3370
0.3150,-0.4485,0.9082,0.3370
0.3150,-0.4406,0.9297,0.3158
0.3150,-0.4338,0.9275,0.2991
0.3440,-0.4338,0.9275,0.2991
0.3450,-0.4338,0.9275,0.2991
0.3450,-0.4338,0.9275,0.2991
0.3450,-0.4204,0.9130,0.3123
0.3650,-0.4204,0.9130,0.3123
0.3660,-0.4204,0.9130,0.3123
0.3660,-0.4204,0.9130,0.3123
0.3660,-0.4294,0.8972,0.3121
0.3670,-0.4294,0.8972,0.3121
0.3940,-0.4294,0.8972,0.3121
0.3940,-0.4294,0.8972,0.3121
0.3950,-0.4294,0.8972,0.3121
0.3950,-0.4487,0.8837,0.3211
0.3950,-0.4521,0.8818,0.3282
0.4250,-0.4521,0.8818,0.3282
0.4250,-0.4521,0.8818,0.3282
0.4250,-0.4521,0.8818,0.3282
0.4250,-0.4416,0.8896,0.3226
0.4450,-0.4416,0.8896,0.3226
0.4460,-0.4416,0.8896,0.3226
0.4460,-0.4416,0.8896,0.3226
0.4460,-0.4533,0.8915,0.3096
0.4460,-0.4533,0.8915,0.3096
0.4700,-0.4533,0.8915,0.3096
0.4740,-0.4533,0.8915,0.3096
0.4760,-0.4533,0.8915,0.3096
0.4770,-0.4533,0.8915,0.3096
0.4770,-0.4533,0.8915,0.3096
0.4770,-0.4553,0.8852,0.3302
0.4780,-0.4438,0.8898,0.3385
0.5050,-0.4438,0.8898,0.3385
0.5060,-0.4438,0.8898,0.3385
0.5060,-0.4438,0.8898,0.3385
0.5070,-0.4389,0.9042,0.3123
0.5250,-0.4389,0.9042,0.3123
0.5360,-0.4389,0.9042,0.3123
0.5370,-0.4389,0.9042,0.3123
0.5370,-0.4328,0.9003,0.3216
0.5370,-0.4328,0.9003,0.3216
0.5550,-0.4328,0.9003,0.3216
0.5550,-0.4328,0.9003,0.3216
0.5560,-0.4328,0.9003,0.3216
0.5560,-0.4343,0.8989,0.3365
0.5570,-0.4387,0.9016,0.3355
0.5850,-0.4387,0.9016,0.3355
0.5850,-0.4387,0.9016,0.3355
0.5860,-0.4387,0.9016,0.3355
0.5860,-0.4431,0.8994,0.3199
0.6050,-0.4431,0.8994,0.3199
0.6070,-0.4431,0.8994,0.3199
0.6070,-0.4431,0.8994,0.3199
0.6080,-0.4345,0.8945,0.3250
0.6080,-0.4345,0.8945,0.3250
0.6360,-0.4345,0.8945,0.3250
0.6360,-0.4345,0.8945,0.3250
0.6370,-0.4345,0.8945,0.3250
0.6370,-0.4294,0.8957,0.3456
0.6380,-0.4309,0.9057,0.3485
0.6650,-0.4309,0.9057,0.3485
0.6660,-0.4309,0.9057,0.3485
0.6660,-0.4309,0.9057,0.3485
0.6660,-0.4262,0.9111,0.3414
0.6740,-0.4262,0.9111,0.3414
0.6740,-0.4262,0.9111,0.3414
0.6860,-0.4262,0.9111,0.3414
0.6870,-0.4262,0.9111,0.3414
0.6870,-0.4262,0.9111,0.3414
0.6880,-0.4282,0.9121,0.3272
0.6880,-0.4282,0.9121,0.3272
0.7150,-0.4282,0.9121,0.3272
0.7160,-0.4282,0.9121,0.3272
0.7160,-0.4282,0.9121,0.3272
0.7160,-0.4331,0.9055,0.3211
0.7170,-0.4340,0.8915,0.3324
0.7460,-0.4340,0.8915,0.3324
0.7460,-0.4340,0.8915,0.3324
0.7460,-0.4340,0.8915,0.3324
0.7470,-0.4470,0.8857,0.3253
0.7670,-0.4470,0.8857,0.3253
0.7670,-0.4470,0.8857,0.3253
0.7670,-0.4470,0.8857,0.3253
0.7680,-0.4543,0.8923,0.3277
0.7680,-0.4543,0.8923,0.3277
0.7950,-0.4543,0.8923,0.3277
0.7960,-0.4543,0.8923,0.3277
0.7960,-0.4543,0.8923,0.3277
0.7970,-0.4590,0.9020,0.3294
0.7970,-0.4536,0.8967,0.3341
0.8250,-0.4536,0.8967,0.3341
0.8260,-0.4536,0.8967,0.3341
0.8260,-0.4536,0.8967,0.3341
0.8270,-0.4421,0.8918,0.3487
0.8460,-0.4421,0.8918,0.3487
0.8470,-0.4421,0.8918,0.3487
0.8470,-0.4421,0.8918,0.3487
0.8470,-0.4357,0.9008,0.3399
0.8480,-0.4357,0.9008,0.3399
0.8710,-0.4357,0.9008,0.3399
0.8740,-0.4357,0.9008,0.3399
0.8760,-0.4357,0.9008,0.3399
0.8760,-0.4357,0.9008,0.3399
0.8770,-0.4357,0.9008,0.3399
0.8770,-0.4245,0.9040,0.3148
0.8770,-0.4204,0.8940,0.3118
0.9060,-0.4204,0.8940,0.3118
0.9070,-0.4204,0.8940,0.3118
0.9070,-0.4204,0.8940,0.3118
0.9070,-0.4291,0.8920,0.3311
0.9270,-0.4291,0.8920,0.3311
0.9280,-0.4291,0.8920,0.3311
0.9280,-0.4291,0.8920,0.3311
0.9290,-0.4475,0.9008,0.3414
0.9290,-0.4475,0.9008,0.3414
0.9560,-0.4475,0.9008,0.3414
0.9560,-0.4475,0.9008,0.3414
0.9570,-0.4475,0.9008,0.3414
0.9570,-0.4570,0.9069,0.3216
0.9580,-0.4533,0.9003,0.3194
0.9860,-0.4533,0.9003,0.3194
0.9870,-0.4533,0.9003,0.3194
0.9880,-0.4533,0.9003,0.3194
0.9880,-0.4384,0.8866,0.3265
1.0070,-0.4384,0.8866,0.3265
1.0070,-0.4384,0.8866,0.3265
1.0080,-0.4384,0.8866,0.3265
1.0080,-0.4233,0.8840,0.3373
1.0080,-0.4233,0.8840,0.3373
1.0350,-0.4233,0.8840,0.3373
1.0360,-0.4233,0.8840,0.3373
1.0360,-0.4233,0.8840,0.3373
1.0360,-0.4243,0.8918,0.3319
1.0360,-0.4311,0.9060,0.3048
1.0670,-0.4311,0.9060,0.3048
1.0670,-0.4311,0.9060,0.3048
1.0670,-0.4311,0.9060,0.3048
1.0860,-0.4443,0.9155,0.3160
1.0860,-0.4443,0.9155,0.3160
1.0860,-0.4443,0.9155,0.3160
1.0860,-0.4443,0.9155,0.3160
1.0880,-0.4443,0.9155,0.3160
1.0890,-0.4443,0.9155,0.3160
1.0890,-0.4375,0.9077,0.3358
1.0900,-0.4375,0.9077,0.3358
1.1160,-0.4375,0.9077,0.3358
1.1160,-0.4375,0.9077,0.3358
1.1160,-0.4375,0.9077,0.3358
1.1170,-0.4265,0.8984,0.3175
1.1170,-0.4269,0.8959,0.3136
1.1460,-0.4269,0.8959,0.3136
1.1460,-0.4269,0.8959,0.3136
1.1470,-0.4269,0.8959,0.3136
1.1470,-0.4335,0.9023,0.3206
1.1660,-0.4335,0.9023,0.3206
1.1660,-0.4335,0.9023,0.3206
1.1670,-0.4335,0.9023,0.3206
1.1670,-0.4294,0.9086,0.3180
1.1670,-0.4294,0.9086,0.3180
1.1960,-0.4294,0.9086,0.3180
1.1960,-0.4294,0.9086,0.3180
1.1960,-0.4294,0.9086,0.3180
1.1960,-0.4345,0.9086,0.3072
1.1970,-0.4372,0.9047,0.3304
1.2260,-0.4372,0.9047,0.3304
1.2260,-0.4372,0.9047,0.3304
1.2260,-0.4372,0.9047,0.3304
1.2270,-0.4306,0.9135,0.3463
1.2470,-0.4306,0.9135,0.3463
1.2470,-0.4306,0.9135,0.3463
1.2480,-0.4306,0.9135,0.3463
1.2480,-0.4106,0.9287,0.3192
1.2480,-0.4106,0.9287,0.3192
1.2700,-0.4106,0.9287,0.3192
1.2740,-0.4106,0.9287,0.3192
1.2770,-0.4106,0.9287,0.3192
1.2780,-0.4106,0.9287,0.3192
1.2780,-0.4106,0.9287,0.3192
1.2780,-0.3966,0.9341,0.3060
1.2780,-0.4157,0.9235,0.3250
1.3060,-0.4157,0.9235,0.3250
1.3060,-0.4157,0.9235,0.3250
1.3060,-0.4157,0.9235,0.3250
1.3070,-0.4326,0.9013,0.3302
1.3270,-0.4326,0.9013,0.3302
1.3280,-0.4326,0.9013,0.3302
1.3280,-0.4326,0.9013,0.3302
1.3280,-0.4221,0.8852,0.3101
1.3300,-0.4221,0.8852,0.3101
1.3570,-0.4221,0.8852,0.3101
1.3580,-0.4221,0.8852,0.3101
1.3580,-0.4221,0.8852,0.3101
1.3580,-0.4086,0.8710,0.3253
1.3580,-0.4164,0.8803,0.3583
1.3870,-0.4164,0.8803,0.3583
1.3880,-0.4164,0.8803,0.3583
1.3880,-0.4164,0.8803,0.3583
1.3880,-0.4172,0.9018,0.3556
1.4070,-0.4172,0.9018,0.3556
1.4080,-0.4172,0.9018,0.3556
1.4080,-0.4172,0.9018,0.3556
1.4080,-0.4294,0.9265,0.3304
1.4090,-0.4294,0.9265,0.3304
1.4370,-0.4294,0.9265,0.3304
1.4380,-0.4294,0.9265,0.3304
1.4380,-0.4294,0.9265,0.3304
1.4380,-0.4516,0.9277,0.3236
1.4390,-0.4526,0.9126,0.3399
1.4670,-0.4526,0.9126,0.3399
1.4670,-0.4526,0.9126,0.3399
1.4680,-0.4526,0.9126,0.3399
1.4680,-0.4291,0.8996,0.3402
1.4740,-0.4291,0.8996,0.3402
1.4740,-0.4291,0.8996,0.3402
1.4880,-0.4291,0.8996,0.3402
1.4890,-0.4291,0.8996,0.3402
1.4890,-0.4291,0.8996,0.3402
1.4890,-0.4142,0.8976,0.3348
1.4890,-0.4142,0.8976,0.3348
1.5190,-0.4142,0.8976,0.3348
1.5210,-0.4142,0.8976,0.3348
1.5220,-0.4142,0.8976,0.3348
1.5230,-0.4108,0.8991,0.3143
1.5240,-0.4018,0.9030,0.2933
1.5500,-0.4018,0.9030,0.2933
1.5520,-0.4018,0.9030,0.2933
1.5540,-0.4018,0.9030,0.2933
1.5560,-0.3957,0.9096,0.3167
1.5690,-0.3957,0.9096,0.3167
1.5710,-0.3957,0.9096,0.3167
1.5720,-0.3957,0.9096,0.3167
1.5730,-0.4028,0.9216,0.3380
1.5750,-0.4028,0.9216,0.3380
1.5980,-0.4028,0.9216,0.3380
1.5990,-0.4028,0.9216,0.3380
1.6000,-0.4028,0.9216,0.3380
1.6030,-0.4140,0.9309,0.3101
1.6240,-0.4116,0.9099,0.3084
1.6290,-0.4116,0.9099,0.3084
1.6300,-0.4116,0.9099,0.3084
1.6310,-0.4116,0.9099,0.3084
1.6310,-0.4015,0.8915,0.3346
1.6480,-0.4015,0.8915,0.3346
1.6480,-0.4015,0.8915,0.3346
1.6490,-0.4015,0.8915,0.3346
1.6500,-0.4069,0.9067,0.3456
1.6500,-0.4069,0.9067,0.3456
1.6710,-0.4069,0.9067,0.3456
1.6760,-0.4069,0.9067,0.3456
1.6790,-0.4069,0.9067,0.3456
1.6790,-0.4069,0.9067,0.3456
1.6800,-0.4069,0.9067,0.3456
1.6810,-0.4155,0.9348,0.3277
1.6810,-0.4343,0.9421,0.3392
1.7080,-0.4343,0.9421,0.3392
1.7090,-0.4343,0.9421,0.3392
1.7090,-0.4343,0.9421,0.3392
1.7100,-0.4328,0.9262,0.3558
1.7290,-0.4328,0.9262,0.3558
1.7310,-0.4328,0.9262,0.3558
1.7330,-0.4328,0.9262,0.3558
1.7340,-0.4155,0.9111,0.3463
1.7350,-0.4155,0.9111,0.3463
1.7590,-0.4155,0.9111,0.3463
1.7600,-0.4155,0.9111,0.3463
1.7610,-0.4155,0.9111,0.3463
1.7620,-0.4074,0.9126,0.3245
1.7630,-0.4106,0.9138,0.3109
1.7890,-0.4106,0.9138,0.3109
1.7910,-0.4106,0.9138,0.3109
1.7920,-0.4106,0.9138,0.3109
1.7930,-0.4284,0.9030,0.3204
1.8090,-0.4284,0.9030,0.3204
1.8100,-0.4284,0.9030,0.3204
1.8110,-0.4284,0.9030,0.3204
1.8120,-0.4460,0.9006,0.3439
1.8130,-0.4460,0.9006,0.3439
1.8390,-0.4460,0.9006,0.3439
1.8400,-0.4460,0.9006,0.3439
1.8410,-0.4460,0.9006,0.3439
1.8420,-0.4436,0.8984,0.3419
1.8420,-0.4301,0.8967,0.3289
1.8700,-0.4301,0.8967,0.3289
1.8710,-0.4301,0.8967,0.3289
1.8720,-0.4301,0.8967,0.3289
1.8730,-0.4120,0.9062,0.3087
1.8740,-0.4120,0.9062,0.3087
1.8750,-0.4120,0.9062,0.3087
1.8890,-0.4120,0.9062,0.3087
1.8900,-0.4120,0.9062,0.3087
1.8930,-0.4120,0.9062,0.3087
1.8940,-0.4050,0.9145,0.3050
1.8950,-0.4050,0.9145,0.3050
1.9190,-0.4050,0.9145,0.3050
1.9200,-0.4050,0.9145,0.3050
1.9210,-0.4050,0.9145,0.3050
1.9210,-0.4247,0.8976,0.3162
1.9220,-0.4304,0.8871,0.3292
1.9510,-0.4304,0.8871,0.3292
1.9520,-0.4304,0.8871,0.3292
1.9550,-0.4304,0.8871,0.3292
1.9570,-0.4316,0.8994,0.3326
1.9700,-0.4316,0.8994,0.3326
1.9720,-0.4316,0.8994,0.3326
1.9730,-0.4316,0.8994,0.3326
1.9740,-0.4294,0.9155,0.3170
1.9750,-0.4294,0.9155,0.3170
2.0010,-0.4294,0.9155,0.3170
2.0030,-0.4294,0.9155,0.3170
2.0040,-0.4294,0.9155,0.3170
2.0050,-0.4340,0.9160,0.3094
2.0060,-0.4377,0.8967,0.3341
2.0300,-0.4377,0.8967,0.3341
2.0320,-0.4377,0.8967,0.3341
2.0320,-0.4377,0.8967,0.3341
2.0340,-0.4392,0.8871,0.3456
2.0510,-0.4392,0.8871,0.3456
2.0520,-0.4392,0.8871,0.3456
2.0530,-0.4392,0.8871,0.3456
2.0570,-0.4333,0.9025,0.3255
2.0580,-0.4333,0.9025,0.3255
2.0770,-0.4333,0.9025,0.3255
