
time,AccelerometerX,AccelerometerY,AccelerometerZ
0.0220,-0.2234,1.0311,0.1369
0.0230,-0.2234,1.0311,0.1369
0.0230,-0.2234,1.0311,0.1369
0.0230,-0.2305,1.0206,0.1173
0.0240,-0.2290,1.0401,0.0892
0.0520,-0.2290,1.0401,0.0892
0.0530,-0.2290,1.0401,0.0892
0.0530,-0.2290,1.0401,0.0892
0.0530,-0.2336,1.0259,0.1408
0.0530,-0.2336,1.0259,0.1408
0.0730,-0.2336,1.0259,0.1408
0.0730,-0.2336,1.0259,0.1408
0.0740,-0.2336,1.0259,0.1408
0.0740,-0.2427,1.0179,0.1872
0.1040,-0.2427,1.0179,0.1872
0.1040,-0.2427,1.0179,0.1872
0.1040,-0.2427,1.0179,0.1872
0.1040,-0.2341,1.0169,0.1405
0.1040,-0.2312,1.0069,0.1488
0.1230,-0.2312,1.0069,0.1488
0.1230,-0.2312,1.0069,0.1488
0.1230,-0.2312,1.0069,0.1488
0.1240,-0.2500,1.0086,0.1415
0.1240,-0.2500,1.0086,0.1415
0.1530,-0.2500,1.0086,0.1415
0.1530,-0.2500,1.0086,0.1415
0.1530,-0.2500,1.0086,0.1415
0.1530,-0.2561,1.0328,0.1315
0.1830,-0.2561,1.0328,0.1315
0.1830,-0.2561,1.0328,0.1315
0.1840,-0.2561,1.0328,0.1315
0.1840,-0.2407,1.0431,0.1246
0.1840,-0.2261,1.0237,0.1435
0.1890,-0.2261,1.0237,0.1435
0.1900,-0.2261,1.0237,0.1435
0.2030,-0.2261,1.0237,0.1435
0.2030,-0.2261,1.0237,0.1435
0.2030,-0.2261,1.0237,0.1435
0.2040,-0.2256,1.0123,0.1545
0.2040,-0.2256,1.0123,0.1545
0.2320,-0.2256,1.0123,0.1545
0.2320,-0.2256,1.0123,0.1545
0.2330,-0.2256,1.0123,0.1545
0.2330,-0.2371,1.0296,0.1373
0.2630,-0.2371,1.0296,0.1373
0.2630,-0.2371,1.0296,0.1373
0.2630,-0.2371,1.0296,0.1373
0.2640,-0.2341,1.0382,0.1281
0.2640,-0.2217,1.0230,0.1398
0.2830,-0.2217,1.0230,0.1398
0.2840,-0.2217,1.0230,0.1398
0.2840,-0.2217,1.0230,0.1398
0.2840,-0.2217,1.0164,0.1525
0.2840,-0.2217,1.0164,0.1525
0.3130,-0.2217,1.0164,0.1525
0.3130,-0.2217,1.0164,0.1525
0.3130,-0.2217,1.0164,0.1525
0.3140,-0.2356,1.0240,0.1351
0.3440,-0.2356,1.0240,0.1351
0.3440,-0.2356,1.0240,0.1351
0.3440,-0.2356,1.0240,0.1351
0.3440,-0.2380,1.0330,0.1232
0.3450,-0.2275,1.0252,0.1378
0.3620,-0.2275,1.0252,0.1378
0.3630,-0.2275,1.0252,0.1378
0.3640,-0.2275,1.0252,0.1378
0.3640,-0.2236,1.0169,0.1474
0.3640,-0.2236,1.0169,0.1474
0.3850,-0.2236,1.0169,0.1474
0.3890,-0.2236,1.0169,0.1474
0.3940,-0.2236,1.0169,0.1474
0.3940,-0.2236,1.0169,0.1474
0.3950,-0.2236,1.0169,0.1474
0.3950,-0.2363,1.0215,0.1425
0.4230,-0.2363,1.0215,0.1425
0.4240,-0.2363,1.0215,0.1425
0.4240,-0.2363,1.0215,0.1425
0.4250,-0.2503,1.0406,0.1281
0.4250,-0.2490,1.0264,0.1332
0.4430,-0.2490,1.0264,0.1332
0.4440,-0.2490,1.0264,0.1332
0.4440,-0.2490,1.0264,0.1332
0.4440,-0.2419,1.0110,0.1545
0.4440,-0.2419,1.0110,0.1545
0.4730,-0.2419,1.0110,0.1545
0.4740,-0.2419,1.0110,0.1545
0.4740,-0.2419,1.0110,0.1545
0.4740,-0.2375,1.0201,0.1557
0.5030,-0.2375,1.0201,0.1557
0.5030,-0.2375,1.0201,0.1557
0.5030,-0.2375,1.0201,0.1557
0.5040,-0.2383,1.0347,0.1339
0.5040,-0.2375,1.0362,0.1285
0.5230,-0.2375,1.0362,0.1285
0.5240,-0.2375,1.0362,0.1285
0.5240,-0.2375,1.0362,0.1285
0.5250,-0.2283,1.0186,0.1403
0.5260,-0.2283,1.0186,0.1403
0.5530,-0.2283,1.0186,0.1403
0.5530,-0.2283,1.0186,0.1403
0.5530,-0.2283,1.0186,0.1403
0.5540,-0.2285,1.0137,0.1483
0.5860,-0.2285,1.0137,0.1483
0.5860,-0.2285,1.0137,0.1483
0.5860,-0.2285,1.0137,0.1483
0.5860,-0.2341,1.0235,0.1391
0.5870,-0.2397,1.0401,0.1298
0.5890,-0.2397,1.0401,0.1298
0.6030,-0.2397,1.0401,0.1298
0.6040,-0.2397,1.0401,0.1298
0.6040,-0.2397,1.0401,0.1298
0.6040,-0.2395,1.0325,0.1307
0.6050,-0.2395,1.0325,0.1307
0.6330,-0.2395,1.0325,0.1307
0.6340,-0.2395,1.0325,0.1307
