
time,AccelerometerX,AccelerometerY,AccelerometerZ
0.0130,-0.2732,1.0428,0.0242
0.0140,-0.2732,1.0428,0.0242
0.0140,-0.2732,1.0428,0.0242
0.0140,-0.2637,0.9915,0.0833
0.0150,-0.2498,0.9974,0.1581
0.0630,-0.2498,0.9974,0.1581
0.0630,-0.2498,0.9974,0.1581
0.0640,-0.2498,0.9974,0.1581
0.0640,-0.2495,1.0760,0.0266
0.0640,-0.2495,1.0760,0.0266
0.0640,-0.2495,1.0760,0.0266
0.0650,-0.2495,1.0760,0.0266
0.0650,-0.2432,1.0614,0.0232
0.0660,-0.2432,1.0614,0.0232
0.0920,-0.2432,1.0614,0.0232
0.0920,-0.2432,1.0614,0.0232
0.0930,-0.2432,1.0614,0.0232
0.0940,-0.2544,1.0206,0.0887
0.0940,-0.2659,1.0081,0.1127
0.1230,-0.2659,1.0081,0.1127
0.1240,-0.2659,1.0081,0.1127
0.1240,-0.2659,1.0081,0.1127
0.1260,-0.2679,1.0103,0.0943
0.1440,-0.2679,1.0103,0.0943
0.1440,-0.2679,1.0103,0.0943
0.1470,-0.2679,1.0103,0.0943
0.1470,-0.2644,1.0154,0.0694
0.1480,-0.2644,1.0154,0.0694
0.1730,-0.2644,1.0154,0.0694
0.1730,-0.2644,1.0154,0.0694
0.1740,-0.2644,1.0154,0.0694
0.1760,-0.2632,1.0184,0.0540
0.1760,-0.2617,1.0215,0.0609
0.1820,-0.2617,1.0215,0.0609
0.1850,-0.2617,1.0215,0.0609
0.2040,-0.2617,1.0215,0.0609
0.2040,-0.2617,1.0215,0.0609
0.2050,-0.2617,1.0215,0.0609
0.2070,-0.2500,1.0284,0.0675
0.2240,-0.2500,1.0284,0.0675
0.2270,-0.2500,1.0284,0.0675
0.2270,-0.2500,1.0284,0.0675
0.2280,-0.2388,1.0303,0.0638
0.2280,-0.2388,1.0303,0.0638
0.2540,-0.2388,1.0303,0.0638
0.2540,-0.2388,1.0303,0.0638
0.2550,-0.2388,1.0303,0.0638
0.2570,-0.2427,1.0235,0.0662
0.2570,-0.2537,1.0150,0.0689
0.2840,-0.2537,1.0150,0.0689
0.2840,-0.2537,1.0150,0.0689
0.2850,-0.2537,1.0150,0.0689
0.2880,-0.2573,1.0172,0.0714
0.3040,-0.2573,1.0172,0.0714
0.3070,-0.2573,1.0172,0.0714
0.3070,-0.2573,1.0172,0.0714
0.3080,-0.2525,1.0264,0.0853
0.3080,-0.2525,1.0264,0.0853
0.3340,-0.2525,1.0264,0.0853
0.3340,-0.2525,1.0264,0.0853
0.3340,-0.2525,1.0264,0.0853
0.3370,-0.2701,1.0245,0.0626
0.3370,-0.2737,1.0299,0.0643
0.3650,-0.2737,1.0299,0.0643
0.3660,-0.2737,1.0299,0.0643
0.3660,-0.2737,1.0299,0.0643
0.3670,-0.2559,1.0316,0.0787
0.3820,-0.2559,1.0316,0.0787
0.3860,-0.2559,1.0316,0.0787
0.3880,-0.2559,1.0316,0.0787
0.3890,-0.2559,1.0316,0.0787
0.3890,-0.2429,1.0257,0.1044
0.3900,-0.2429,1.0257,0.1044
0.3900,-0.2429,1.0257,0.1044
0.4140,-0.2429,1.0257,0.1044
0.4150,-0.2429,1.0257,0.1044
0.4150,-0.2429,1.0257,0.1044
0.4150,-0.2405,1.0247,0.0826
0.4160,-0.2344,1.0340,0.0528
0.4440,-0.2344,1.0340,0.0528
0.4450,-0.2344,1.0340,0.0528
0.4450,-0.2344,1.0340,0.0528
0.4470,-0.2363,1.0277,0.0655
0.4650,-0.2363,1.0277,0.0655
0.4650,-0.2363,1.0277,0.0655
0.4660,-0.2363,1.0277,0.0655
0.4680,-0.2478,1.0201,0.0909
0.4690,-0.2478,1.0201,0.0909
0.4930,-0.2478,1.0201,0.0909
0.4930,-0.2478,1.0201,0.0909
0.4940,-0.2478,1.0201,0.0909
0.4970,-0.2564,1.0213,0.0848
0.4970,-0.2595,1.0218,0.0809
0.5240,-0.2595,1.0218,0.0809
0.5240,-0.2595,1.0218,0.0809
0.5240,-0.2595,1.0218,0.0809
0.5270,-0.2598,1.0218,0.0843
0.5450,-0.2598,1.0218,0.0843
0.5480,-0.2598,1.0218,0.0843
0.5480,-0.2598,1.0218,0.0843
0.5480,-0.2517,1.0323,0.0760
0.5480,-0.2517,1.0323,0.0760
0.5740,-0.2517,1.0323,0.0760
0.5740,-0.2517,1.0323,0.0760
0.5740,-0.2517,1.0323,0.0760
0.5770,-0.2471,1.0328,0.0643
0.5770,-0.2481,1.0206,0.0797
0.5820,-0.2481,1.0206,0.0797
0.6040,-0.2481,1.0206,0.0797
0.6050,-0.2481,1.0206,0.0797
0.6050,-0.2481,1.0206,0.0797
0.6070,-0.2478,1.0137,0.1026
0.6250,-0.2478,1.0137,0.1026
0.6330,-0.2478,1.0137,0.1026
0.6350,-0.2478,1.0137,0.1026
0.6350,-0.2471,1.0220,0.0887
0.6360,-0.2471,1.0220,0.0887
0.6550,-0.2471,1.0220,0.0887
0.6550,-0.2471,1.0220,0.0887
0.6550,-0.2471,1.0220,0.0887
0.6580,-0.2517,1.0384,0.0533
0.6580,-0.2583,1.0311,0.0565
