
time,AccelerometerX,AccelerometerY,AccelerometerZ
0.0120,-0.2520,1.0391,0.1114
0.0130,-0.2520,1.0391,0.1114
0.0130,-0.2520,1.0391,0.1114
0.0130,-0.2454,1.0208,0.1156
0.0250,-0.2454,1.0208,0.1156
0.0250,-0.2454,1.0208,0.1156
0.0250,-0.2454,1.0208,0.1156
0.0260,-0.2498,1.0196,0.1012
0.0260,-0.2498,1.0196,0.1012
0.0540,-0.2498,1.0196,0.1012
0.0540,-0.2498,1.0196,0.1012
0.0540,-0.2498,1.0196,0.1012
0.0540,-0.2498,1.0196,0.1012
0.0550,-0.2505,1.0416,0.1166
0.0550,-0.2353,1.0242,0.1657
0.0820,-0.2353,1.0242,0.1657
0.0820,-0.2353,1.0242,0.1657
0.0830,-0.2353,1.0242,0.1657
0.0830,-0.2361,0.9991,0.1322
0.1040,-0.2361,0.9991,0.1322
0.1040,-0.2361,0.9991,0.1322
0.1040,-0.2361,0.9991,0.1322
0.1050,-0.2454,1.0088,0.1479
0.1050,-0.2454,1.0088,0.1479
0.1320,-0.2454,1.0088,0.1479
0.1330,-0.2454,1.0088,0.1479
0.1330,-0.2454,1.0088,0.1479
0.1330,-0.2493,1.0208,0.1501
0.1330,-0.2522,1.0306,0.1178
0.1620,-0.2522,1.0306,0.1178
0.1620,-0.2522,1.0306,0.1178
0.1620,-0.2522,1.0306,0.1178
0.1630,-0.2481,1.0286,0.1105
0.1830,-0.2481,1.0286,0.1105
0.1850,-0.2481,1.0286,0.1105
0.1860,-0.2481,1.0286,0.1105
0.1860,-0.2481,1.0223,0.1268
0.1860,-0.2481,1.0223,0.1268
0.2120,-0.2481,1.0223,0.1268
0.2120,-0.2481,1.0223,0.1268
0.2130,-0.2481,1.0223,0.1268
0.2130,-0.2498,1.0159,0.1347
0.2130,-0.2473,1.0184,0.1261
0.2440,-0.2473,1.0184,0.1261
0.2450,-0.2473,1.0184,0.1261
0.2450,-0.2473,1.0184,0.1261
0.2450,-0.2422,1.0172,0.1217
0.2450,-0.2422,1.0172,0.1217
0.2630,-0.2422,1.0172,0.1217
0.2640,-0.2422,1.0172,0.1217
0.2640,-0.2422,1.0172,0.1217
0.2640,-0.2402,1.0196,0.1307
