
time,AccelerometerX,AccelerometerY,AccelerometerZ
0.0110,-0.2854,1.0215,0.1425
0.0110,-0.2854,1.0215,0.1425
0.0120,-0.2854,1.0215,0.1425
0.0120,-0.2248,0.9978,0.1300
0.0120,-0.2248,0.9978,0.1300
0.0270,-0.2248,0.9978,0.1300
0.0280,-0.2248,0.9978,0.1300
0.0280,-0.2248,0.9978,0.1300
0.0650,-0.1747,1.0140,0.1769
0.0650,-0.1422,0.9900,0.2265
0.0660,-0.1422,0.9900,0.2265
0.0660,-0.1422,0.9900,0.2265
0.0660,-0.1422,0.9900,0.2265
0.0670,-0.2065,0.9868,0.3016
0.0670,-0.2065,0.9868,0.3016
0.0780,-0.2065,0.9868,0.3016
0.0790,-0.2065,0.9868,0.3016
0.0790,-0.2065,0.9868,0.3016
0.0790,-0.2784,0.9851,0.2801
0.0800,-0.2784,0.9851,0.2801
0.1080,-0.2784,0.9851,0.2801
0.1080,-0.2784,0.9851,0.2801
0.1080,-0.2784,0.9851,0.2801
0.1090,-0.2647,0.9942,0.2828
0.1090,-0.1796,1.0401,0.2974
0.1380,-0.1796,1.0401,0.2974
0.1380,-0.1796,1.0401,0.2974
0.1380,-0.1796,1.0401,0.2974
0.1390,-0.0868,1.0763,0.2720
0.1580,-0.0868,1.0763,0.2720
0.1590,-0.0868,1.0763,0.2720
0.1590,-0.0868,1.0763,0.2720
0.1590,-0.0978,1.0797,0.1625
0.1600,-0.0978,1.0797,0.1625
0.1870,-0.0978,1.0797,0.1625
0.1880,-0.0978,1.0797,0.1625
0.1880,-0.0978,1.0797,0.1625
0.1880,-0.1936,1.0330,0.1992
0.1890,-0.2165,0.9849,0.3597
0.2190,-0.2165,0.9849,0.3597
0.2190,-0.2165,0.9849,0.3597
0.2190,-0.2165,0.9849,0.3597
0.2200,-0.2217,0.9822,0.3248
0.2390,-0.2217,0.9822,0.3248
0.2390,-0.2217,0.9822,0.3248
0.2390,-0.2217,0.9822,0.3248
0.2400,-0.2307,0.9766,0.2473
0.2400,-0.2307,0.9766,0.2473
0.2610,-0.2307,0.9766,0.2473
0.2690,-0.2307,0.9766,0.2473
0.2690,-0.2307,0.9766,0.2473
0.2700,-0.2307,0.9766,0.2473
0.2700,-0.2520,0.9856,0.2109
0.2700,-0.2622,1.0032,0.1901
0.2990,-0.2622,1.0032,0.1901
0.2990,-0.2622,1.0032,0.1901
0.3000,-0.2622,1.0032,0.1901
0.3000,-0.2547,1.0030,0.2280
0.3190,-0.2547,1.0030,0.2280
0.3200,-0.2547,1.0030,0.2280
0.3200,-0.2547,1.0030,0.2280
0.3200,-0.2222,0.9920,0.2505
0.3210,-0.2222,0.9920,0.2505
0.3480,-0.2222,0.9920,0.2505
0.3480,-0.2222,0.9920,0.2505
0.3480,-0.2222,0.9920,0.2505
0.3490,-0.1826,0.9793,0.2273
0.3490,-0.1657,0.9944,0.2441
0.3780,-0.1657,0.9944,0.2441
0.3780,-0.1657,0.9944,0.2441
0.3850,-0.1657,0.9944,0.2441
0.3850,-0.1877,1.0054,0.2881
0.4010,-0.1877,1.0054,0.2881
0.4010,-0.1877,1.0054,0.2881
0.4020,-0.1877,1.0054,0.2881
0.4020,-0.2109,1.0130,0.3260
0.4020,-0.2109,1.0130,0.3260
0.4290,-0.2109,1.0130,0.3260
0.4290,-0.2109,1.0130,0.3260
0.4300,-0.2109,1.0130,0.3260
0.4300,-0.1999,1.0457,0.3380
0.4300,-0.1928,1.0768,0.2808
0.4610,-0.1928,1.0768,0.2808
0.4610,-0.1928,1.0768,0.2808
0.4620,-0.1928,1.0768,0.2808
0.4620,-0.2016,1.0577,0.2505
0.4620,-0.2016,1.0577,0.2505
0.4640,-0.2016,1.0577,0.2505
0.4790,-0.2016,1.0577,0.2505
0.4800,-0.2016,1.0577,0.2505
0.4800,-0.2016,1.0577,0.2505
0.4800,-0.2065,1.0255,0.2820
0.4800,-0.2065,1.0255,0.2820
0.5080,-0.2065,1.0255,0.2820
0.5090,-0.2065,1.0255,0.2820
0.5090,-0.2065,1.0255,0.2820
0.5090,-0.1987,0.9893,0.3008
0.5090,-0.2119,0.9634,0.3133
0.5380,-0.2119,0.9634,0.3133
0.5390,-0.2119,0.9634,0.3133
0.5390,-0.2119,0.9634,0.3133
0.5390,-0.2187,0.9612,0.2947
0.5590,-0.2187,0.9612,0.2947
0.5600,-0.2187,0.9612,0.2947
0.5600,-0.2187,0.9612,0.2947
0.5610,-0.2065,0.9800,0.2630
0.5610,-0.2065,0.9800,0.2630
0.5890,-0.2065,0.9800,0.2630
0.5890,-0.2065,0.9800,0.2630
0.5890,-0.2065,0.9800,0.2630
0.5900,-0.2068,0.9964,0.2305
0.5900,-0.2270,1.0098,0.2358
0.6190,-0.2270,1.0098,0.2358
0.6200,-0.2270,1.0098,0.2358
0.6200,-0.2270,1.0098,0.2358
0.6210,-0.2432,1.0130,0.2307
0.6390,-0.2432,1.0130,0.2307
0.6400,-0.2432,1.0130,0.2307
0.6400,-0.2432,1.0130,0.2307
0.6410,-0.2258,0.9974,0.2578
0.6410,-0.2258,0.9974,0.2578
0.6610,-0.2258,0.9974,0.2578
0.6650,-0.2258,0.9974,0.2578
0.6690,-0.2258,0.9974,0.2578
0.6690,-0.2258,0.9974,0.2578
0.6690,-0.2258,0.9974,0.2578
0.6710,-0.2234,0.9817,0.2940
0.6710,-0.2334,0.9925,0.2791
0.7000,-0.2334,0.9925,0.2791
0.7000,-0.2334,0.9925,0.2791
0.7010,-0.2334,0.9925,0.2791
0.7010,-0.2490,1.0059,0.2698
0.7190,-0.2490,1.0059,0.2698
0.7200,-0.2490,1.0059,0.2698
0.7200,-0.2490,1.0059,0.2698
0.7210,-0.2410,1.0093,0.2867
0.7210,-0.2410,1.0093,0.2867
0.7510,-0.2410,1.0093,0.2867
0.7520,-0.2410,1.0093,0.2867
0.7520,-0.2410,1.0093,0.2867
0.7530,-0.2138,1.0179,0.2788
0.7530,-0.1987,1.0157,0.2476
0.7800,-0.1987,1.0157,0.2476
0.7800,-0.1987,1.0157,0.2476
0.7810,-0.1987,1.0157,0.2476
0.7810,-0.2085,1.0049,0.2478
0.7990,-0.2085,1.0049,0.2478
0.8010,-0.2085,1.0049,0.2478
0.8010,-0.2085,1.0049,0.2478
0.8030,-0.2339,0.9912,0.2652
0.8030,-0.2339,0.9912,0.2652
0.8300,-0.2339,0.9912,0.2652
0.8310,-0.2339,0.9912,0.2652
0.8310,-0.2339,0.9912,0.2652
0.8320,-0.2353,0.9844,0.2718
0.8320,-0.2248,0.9900,0.2654
0.8620,-0.2248,0.9900,0.2654
0.8620,-0.2248,0.9900,0.2654
0.8620,-0.2248,0.9900,0.2654
0.8630,-0.2265,1.0005,0.2439
0.8630,-0.2265,1.0005,0.2439
0.8650,-0.2265,1.0005,0.2439
0.8800,-0.2265,1.0005,0.2439
0.8810,-0.2265,1.0005,0.2439
0.8810,-0.2265,1.0005,0.2439
0.8820,-0.2248,0.9966,0.2500
0.8820,-0.2248,0.9966,0.2500
0.9100,-0.2248,0.9966,0.2500
0.9100,-0.2248,0.9966,0.2500
0.9100,-0.2248,0.9966,0.2500
0.9340,-0.2324,0.9986,0.2637
0.9350,-0.2373,0.9971,0.2600
