
time,AccelerometerX,AccelerometerY,AccelerometerZ
0.0050,-0.8260,-0.1354,0.5643
0.0060,-0.8260,-0.1354,0.5643
0.0060,-0.8260,-0.1354,0.5643
0.0380,-0.8062,-0.1381,0.5399
0.0380,-0.8062,-0.1381,0.5399
0.0380,-0.8062,-0.1381,0.5399
0.0390,-0.8062,-0.1381,0.5399
0.0390,-0.8062,-0.1381,0.5399
0.0450,-0.8285,-0.1278,0.5433
0.0450,-0.8285,-0.1278,0.5433
0.0450,-0.8285,-0.1278,0.5433
0.0640,-0.8368,-0.1195,0.5540
0.0650,-0.8368,-0.1195,0.5540
0.0650,-0.8368,-0.1195,0.5540
0.0830,-0.8084,-0.1224,0.5318
0.0830,-0.8084,-0.1224,0.5318
0.0830,-0.8084,-0.1224,0.5318
0.1030,-0.7945,-0.1300,0.5592
0.1030,-0.7945,-0.1300,0.5592
0.1030,-0.7945,-0.1300,0.5592
0.1070,-0.7945,-0.1300,0.5592
0.1080,-0.7945,-0.1300,0.5592
0.1220,-0.7896,-0.1259,0.5711
0.1220,-0.7896,-0.1259,0.5711
0.1220,-0.7896,-0.1259,0.5711
0.1430,-0.8050,-0.1166,0.5631
0.1430,-0.8050,-0.1166,0.5631
0.1430,-0.8050,-0.1166,0.5631
0.1630,-0.8016,-0.1180,0.5824
0.1630,-0.8016,-0.1180,0.5824
0.1630,-0.8016,-0.1180,0.5824
0.1700,-0.8016,-0.1180,0.5824
0.1830,-0.8011,-0.1303,0.5802
0.1830,-0.8011,-0.1303,0.5802
0.1830,-0.8011,-0.1303,0.5802
0.1860,-0.8011,-0.1303,0.5802
0.1860,-0.8011,-0.1303,0.5802
0.2020,-0.8126,-0.1354,0.5663
0.2030,-0.8126,-0.1354,0.5663
0.2030,-0.8126,-0.1354,0.5663
0.2220,-0.8124,-0.1263,0.5731
0.2220,-0.8124,-0.1263,0.5731
0.2220,-0.8124,-0.1263,0.5731
0.2430,-0.7977,-0.1259,0.5782
0.2430,-0.7977,-0.1259,0.5782
0.2430,-0.7977,-0.1259,0.5782
0.2630,-0.8168,-0.1215,0.5746
0.2630,-0.8168,-0.1215,0.5746
0.2630,-0.8168,-0.1215,0.5746
0.2660,-0.8168,-0.1215,0.5746
0.2660,-0.8168,-0.1215,0.5746
0.2820,-0.8124,-0.1234,0.5760
0.2820,-0.8124,-0.1234,0.5760
0.2820,-0.8124,-0.1234,0.5760
0.3010,-0.7613,-0.1337,0.5692
0.3020,-0.7613,-0.1337,0.5692
0.3020,-0.7613,-0.1337,0.5692
0.3210,-0.7341,-0.1254,0.5772
0.3210,-0.7341,-0.1254,0.5772
0.3220,-0.7341,-0.1254,0.5772
0.3420,-0.7940,-0.1158,0.6156
0.3420,-0.7940,-0.1158,0.6156
0.3420,-0.7940,-0.1158,0.6156
0.3440,-0.7940,-0.1158,0.6156
0.3450,-0.7940,-0.1158,0.6156
0.3610,-0.8268,-0.1205,0.6144
0.3610,-0.8268,-0.1205,0.6144
0.3610,-0.8268,-0.1205,0.6144
0.3680,-0.8268,-0.1205,0.6144
0.3810,-0.8084,-0.1285,0.6056
0.3810,-0.8084,-0.1285,0.6056
0.3810,-0.8084,-0.1285,0.6056
0.4020,-0.8170,-0.0604,0.5775
0.4020,-0.8170,-0.0604,0.5775
0.4020,-0.8170,-0.0604,0.5775
0.4210,-0.7102,-0.1513,0.5746
0.4210,-0.7102,-0.1513,0.5746
0.4210,-0.7102,-0.1513,0.5746
0.4240,-0.7102,-0.1513,0.5746
0.4250,-0.7102,-0.1513,0.5746
0.4250,-0.7102,-0.1513,0.5746
0.4410,-0.7728,-0.1755,0.5748
0.4410,-0.7728,-0.1755,0.5748
0.4420,-0.7728,-0.1755,0.5748
0.4610,-0.8243,-0.1786,0.5838
0.4610,-0.8243,-0.1786,0.5838
0.4610,-0.8243,-0.1786,0.5838
0.4800,-0.7813,-0.1425,0.6129
0.4800,-0.7813,-0.1425,0.6129
0.4810,-0.7813,-0.1425,0.6129
0.5000,-0.8128,-0.1017,0.6046
0.5000,-0.8128,-0.1017,0.6046
0.5000,-0.8128,-0.1017,0.6046
0.5030,-0.8128,-0.1017,0.6046
0.5040,-0.8128,-0.1017,0.6046
0.5200,-0.8473,-0.1134,0.5829
0.5200,-0.8473,-0.1134,0.5829
0.5200,-0.8473,-0.1134,0.5829
0.5400,-0.8238,-0.1686,0.5809
0.5410,-0.8238,-0.1686,0.5809
0.5410,-0.8238,-0.1686,0.5809
0.5600,-0.7901,-0.1645,0.5711
0.5610,-0.7901,-0.1645,0.5711
0.5610,-0.7901,-0.1645,0.5711
0.5660,-0.7901,-0.1645,0.5711
0.5800,-0.8243,-0.1100,0.5650
0.5810,-0.8243,-0.1100,0.5650
0.5810,-0.8243,-0.1100,0.5650
0.5830,-0.8243,-0.1100,0.5650
0.5830,-0.8243,-0.1100,0.5650
0.6000,-0.8238,-0.1051,0.5794
0.6420,-0.8238,-0.1051,0.5794
0.6420,-0.8238,-0.1051,0.5794
0.6420,-0.8109,-0.1317,0.5917
0.6420,-0.8109,-0.1317,0.5917
0.6430,-0.8109,-0.1317,0.5917
0.6430,-0.8109,-0.1317,0.5917
0.6430,-0.8375,-0.1361,0.5782
0.6430,-0.8375,-0.1361,0.5782
0.6430,-0.8375,-0.1361,0.5782
0.6600,-0.8400,-0.1310,0.5465
0.6610,-0.8400,-0.1310,0.5465
0.6610,-0.8400,-0.1310,0.5465
0.6640,-0.8400,-0.1310,0.5465
0.6640,-0.8400,-0.1310,0.5465
0.6800,-0.8282,-0.1254,0.5570
0.6810,-0.8282,-0.1254,0.5570
0.6810,-0.8282,-0.1254,0.5570
0.6990,-0.8172,-0.1195,0.5665
0.7000,-0.8172,-0.1195,0.5665
0.7000,-0.8172,-0.1195,0.5665
0.7190,-0.7869,-0.1278,0.5487
0.7190,-0.7869,-0.1278,0.5487
0.7190,-0.7869,-0.1278,0.5487
0.7400,-0.7957,-0.1334,0.5548
0.7400,-0.7957,-0.1334,0.5548
0.7410,-0.7957,-0.1334,0.5548
0.7430,-0.7957,-0.1334,0.5548
0.7430,-0.7957,-0.1334,0.5548
0.7600,-0.8165,-0.1496,0.5619
0.7600,-0.8165,-0.1496,0.5619
0.7610,-0.8165,-0.1496,0.5619
0.7650,-0.8165,-0.1496,0.5619
0.7790,-0.8246,-0.1479,0.5518
0.7800,-0.8246,-0.1479,0.5518
0.7800,-0.8246,-0.1479,0.5518
0.7990,-0.8077,-0.1273,0.5790
0.7990,-0.8077,-0.1273,0.5790
0.7990,-0.8077,-0.1273,0.5790
0.8190,-0.8077,-0.1273,0.5790
0.8190,-0.8133,-0.1095,0.5743
0.8190,-0.8133,-0.1095,0.5743
0.8200,-0.8133,-0.1095,0.5743
0.8240,-0.8133,-0.1095,0.5743
0.8240,-0.8133,-0.1095,0.5743
0.8400,-0.7962,-0.1332,0.5394
0.8400,-0.7962,-0.1332,0.5394
0.8400,-0.7962,-0.1332,0.5394
0.8600,-0.7957,-0.1493,0.5377
0.8600,-0.7957,-0.1493,0.5377
0.8600,-0.7957,-0.1493,0.5377
0.8790,-0.7923,-0.1342,0.5631
