
time,AccelerometerX,AccelerometerY,AccelerometerZ
0.0120,-0.8507,-0.5328,-0.0083
0.0120,-0.8507,-0.5328,-0.0083
0.0120,-0.8507,-0.5328,-0.0083
0.0410,-0.8356,-0.5465,-0.0313
0.0410,-0.8356,-0.5465,-0.0313
0.0410,-0.8356,-0.5465,-0.0313
0.0410,-0.8356,-0.5465,-0.0313
0.0420,-0.8356,-0.5465,-0.0313
0.0420,-0.8356,-0.5465,-0.0313
0.0480,-0.7505,-0.6305,-0.0797
0.0480,-0.7505,-0.6305,-0.0797
0.0490,-0.7505,-0.6305,-0.0797
0.0700,-0.7327,-0.6256,-0.1166
0.0700,-0.7327,-0.6256,-0.1166
0.0700,-0.7327,-0.6256,-0.1166
0.0900,-0.7488,-0.5797,-0.0726
0.0900,-0.7488,-0.5797,-0.0726
0.0900,-0.7488,-0.5797,-0.0726
0.1100,-0.7899,-0.5501,-0.0648
0.1100,-0.7899,-0.5501,-0.0648
0.1100,-0.7899,-0.5501,-0.0648
0.1120,-0.7899,-0.5501,-0.0648
0.1120,-0.7899,-0.5501,-0.0648
0.1290,-0.8295,-0.5401,-0.0604
0.1290,-0.8295,-0.5401,-0.0604
0.1300,-0.8295,-0.5401,-0.0604
0.1490,-0.7908,-0.5352,-0.0467
0.1500,-0.7908,-0.5352,-0.0467
0.1500,-0.7908,-0.5352,-0.0467
0.1690,-0.7703,-0.5350,-0.0386
0.1690,-0.7703,-0.5350,-0.0386
0.1690,-0.7703,-0.5350,-0.0386
0.1890,-0.8138,-0.5506,-0.0147
0.1890,-0.8138,-0.5506,-0.0147
0.1890,-0.8138,-0.5506,-0.0147
0.1920,-0.8138,-0.5506,-0.0147
0.1920,-0.8138,-0.5506,-0.0147
0.2080,-0.8295,-0.5543,-0.0081
0.2080,-0.8295,-0.5543,-0.0081
0.2090,-0.8295,-0.5543,-0.0081
0.2290,-0.8304,-0.5389,-0.0247
0.2290,-0.8304,-0.5389,-0.0247
0.2290,-0.8304,-0.5389,-0.0247
0.2290,-0.8304,-0.5389,-0.0247
0.2490,-0.8321,-0.5447,-0.0489
0.2490,-0.8321,-0.5447,-0.0489
0.2490,-0.8321,-0.5447,-0.0489
0.2690,-0.8202,-0.5650,-0.0601
0.2690,-0.8202,-0.5650,-0.0601
0.2700,-0.8202,-0.5650,-0.0601
0.2710,-0.8202,-0.5650,-0.0601
0.2710,-0.8202,-0.5650,-0.0601
0.2760,-0.8202,-0.5650,-0.0601
0.2880,-0.7982,-0.5917,-0.0555
0.2880,-0.7982,-0.5917,-0.0555
0.2890,-0.7982,-0.5917,-0.0555
0.3080,-0.7943,-0.5995,-0.0506
0.3080,-0.7943,-0.5995,-0.0506
0.3080,-0.7943,-0.5995,-0.0506
0.3290,-0.7855,-0.5838,-0.0428
0.3290,-0.7855,-0.5838,-0.0428
0.3290,-0.7855,-0.5838,-0.0428
0.3480,-0.7926,-0.5711,-0.0491
0.3480,-0.7926,-0.5711,-0.0491
0.3480,-0.7926,-0.5711,-0.0491
0.3510,-0.7926,-0.5711,-0.0491
0.3510,-0.7926,-0.5711,-0.0491
0.3680,-0.7926,-0.5770,-0.0472
0.3690,-0.7926,-0.5770,-0.0472
0.3690,-0.7926,-0.5770,-0.0472
0.3880,-0.7605,-0.5797,-0.0210
0.3890,-0.7605,-0.5797,-0.0210
0.3890,-0.7605,-0.5797,-0.0210
0.4080,-0.7608,-0.5697,-0.0244
0.4080,-0.7608,-0.5697,-0.0244
0.4080,-0.7608,-0.5697,-0.0244
0.4280,-0.8158,-0.5575,-0.0298
0.4610,-0.8158,-0.5575,-0.0298
0.4610,-0.8158,-0.5575,-0.0298
0.4610,-0.8158,-0.5575,-0.0298
0.4610,-0.8158,-0.5575,-0.0298
0.4620,-0.8158,-0.5575,-0.0298
0.4620,-0.8654,-0.5504,-0.0315
0.4620,-0.8654,-0.5504,-0.0315
0.4620,-0.8654,-0.5504,-0.0315
0.4670,-0.8241,-0.5672,-0.0538
0.4670,-0.8241,-0.5672,-0.0538
0.4670,-0.8241,-0.5672,-0.0538
0.4870,-0.7686,-0.5780,-0.0613
0.4870,-0.7686,-0.5780,-0.0613
0.4880,-0.7686,-0.5780,-0.0613
0.5070,-0.8168,-0.5636,-0.0623
0.5070,-0.8168,-0.5636,-0.0623
0.5070,-0.8168,-0.5636,-0.0623
0.5110,-0.8168,-0.5636,-0.0623
0.5110,-0.8168,-0.5636,-0.0623
0.5280,-0.8527,-0.5626,-0.0362
0.5280,-0.8527,-0.5626,-0.0362
0.5280,-0.8527,-0.5626,-0.0362
0.5470,-0.8236,-0.5736,-0.0491
0.5470,-0.8236,-0.5736,-0.0491
0.5480,-0.8236,-0.5736,-0.0491
0.5670,-0.7940,-0.5677,-0.0689
0.5670,-0.7940,-0.5677,-0.0689
0.5670,-0.7940,-0.5677,-0.0689
0.5870,-0.7798,-0.5570,-0.0711
0.5870,-0.7798,-0.5570,-0.0711
0.5870,-0.7798,-0.5570,-0.0711
0.5900,-0.7798,-0.5570,-0.0711
0.5900,-0.7798,-0.5570,-0.0711
0.6070,-0.7385,-0.5704,-0.0540
0.6070,-0.7385,-0.5704,-0.0540
0.6070,-0.7385,-0.5704,-0.0540
0.6270,-0.7867,-0.5746,-0.0178
0.6280,-0.7867,-0.5746,-0.0178
0.6280,-0.7867,-0.5746,-0.0178
0.6280,-0.7867,-0.5746,-0.0178
0.6470,-0.8233,-0.5523,-0.0032
0.6470,-0.8233,-0.5523,-0.0032
0.6470,-0.8233,-0.5523,-0.0032
0.6670,-0.8453,-0.5377,-0.0171
0.6670,-0.8453,-0.5377,-0.0171
0.6670,-0.8453,-0.5377,-0.0171
0.6700,-0.8453,-0.5377,-0.0171
0.6700,-0.8453,-0.5377,-0.0171
0.6860,-0.8106,-0.5597,-0.0579
0.6860,-0.8106,-0.5597,-0.0579
0.6860,-0.8106,-0.5597,-0.0579
0.7060,-0.7696,-0.5606,-0.1034
0.7060,-0.7696,-0.5606,-0.1034
0.7070,-0.7696,-0.5606,-0.1034
0.7270,-0.7989,-0.5619,-0.0731
0.7270,-0.7989,-0.5619,-0.0731
0.7270,-0.7989,-0.5619,-0.0731
0.7460,-0.8018,-0.5697,-0.0283
0.7470,-0.8018,-0.5697,-0.0283
0.7470,-0.8018,-0.5697,-0.0283
0.7490,-0.8018,-0.5697,-0.0283
0.7500,-0.8018,-0.5697,-0.0283
0.7650,-0.7710,-0.5702,-0.0367
0.7650,-0.7710,-0.5702,-0.0367
0.7650,-0.7710,-0.5702,-0.0367
0.7850,-0.7842,-0.5738,-0.0533
0.7850,-0.7842,-0.5738,-0.0533
0.7850,-0.7842,-0.5738,-0.0533
0.8050,-0.8109,-0.5831,-0.0174
0.8050,-0.8109,-0.5831,-0.0174
0.8050,-0.8109,-0.5831,-0.0174
0.8250,-0.8346,-0.5680,-0.0078
0.8260,-0.8346,-0.5680,-0.0078
0.8260,-0.8346,-0.5680,-0.0078
0.8270,-0.8346,-0.5680,-0.0078
0.8280,-0.8346,-0.5680,-0.0078
0.8280,-0.8346,-0.5680,-0.0078
0.8450,-0.8104,-0.5518,-0.0271
0.8450,-0.8104,-0.5518,-0.0271
0.8450,-0.8104,-0.5518,-0.0271
0.8650,-0.7828,-0.5658,-0.0550
0.8650,-0.7828,-0.5658,-0.0550
0.8650,-0.7828,-0.5658,-0.0550
0.8850,-0.8109,-0.5760,-0.0697
0.8850,-0.8109,-0.5760,-0.0697
0.8850,-0.8109,-0.5760,-0.0697
0.9040,-0.7564,-0.5814,-0.0670
0.9050,-0.7564,-0.5814,-0.0670
0.9050,-0.7564,-0.5814,-0.0670
0.9070,-0.7564,-0.5814,-0.0670
0.9070,-0.7564,-0.5814,-0.0670
0.9280,-0.7481,-0.5760,-0.0521
0.9280,-0.7481,-0.5760,-0.0521
0.9280,-0.7481,-0.5760,-0.0521
0.9450,-0.8370,-0.5663,-0.0188
0.9450,-0.8370,-0.5663,-0.0188
0.9450,-0.8370,-0.5663,-0.0188
0.9670,-0.8605,-0.5672,-0.0279
0.9670,-0.8605,-0.5672,-0.0279
0.9680,-0.8605,-0.5672,-0.0279
1.0160,-0.8419,-0.5853,-0.0452
1.0160,-0.8419,-0.5853,-0.0452
1.0170,-0.8419,-0.5853,-0.0452
1.0170,-0.8419,-0.5853,-0.0452
1.0170,-0.8419,-0.5853,-0.0452
1.0170,-0.8119,-0.5900,-0.0396
1.0170,-0.8119,-0.5900,-0.0396
1.0170,-0.8119,-0.5900,-0.0396
1.0240,-0.7803,-0.5787,-0.0469
1.0250,-0.7803,-0.5787,-0.0469
1.0250,-0.7803,-0.5787,-0.0469
1.0250,-0.7803,-0.5787,-0.0469
1.0500,-0.7974,-0.5726,-0.0310
1.0500,-0.7974,-0.5726,-0.0310
