
time,AccelerometerX,AccelerometerY,AccelerometerZ
0.0160,-0.0550,-0.9072,-0.2341
0.0160,-0.0550,-0.9072,-0.2341
0.0170,-0.0550,-0.9072,-0.2341
0.0430,-0.0142,-1.0157,-0.2204
0.0430,-0.0142,-1.0157,-0.2204
0.0430,-0.0142,-1.0157,-0.2204
0.0430,-0.0142,-1.0157,-0.2204
0.0440,-0.0142,-1.0157,-0.2204
0.0510,-0.1315,-0.9499,-0.2539
0.0510,-0.1315,-0.9499,-0.2539
0.0510,-0.1315,-0.9499,-0.2539
0.0710,-0.1193,-0.9055,-0.3070
0.0720,-0.1193,-0.9055,-0.3070
0.0720,-0.1193,-0.9055,-0.3070
0.0910,-0.0797,-0.9074,-0.3148
0.0910,-0.0797,-0.9074,-0.3148
0.0910,-0.0797,-0.9074,-0.3148
0.1080,-0.0797,-0.9074,-0.3148
0.1110,-0.0831,-0.8747,-0.3370
0.1110,-0.0831,-0.8747,-0.3370
0.1110,-0.0831,-0.8747,-0.3370
0.1140,-0.0831,-0.8747,-0.3370
0.1150,-0.0831,-0.8747,-0.3370
0.1310,-0.1256,-0.8556,-0.3219
0.1310,-0.1256,-0.8556,-0.3219
0.1310,-0.1256,-0.8556,-0.3219
0.1500,-0.1210,-0.8844,-0.2796
0.1510,-0.1210,-0.8844,-0.2796
0.1510,-0.1210,-0.8844,-0.2796
0.1720,-0.1447,-0.9091,-0.3082
0.1720,-0.1447,-0.9091,-0.3082
0.1720,-0.1447,-0.9091,-0.3082
0.1910,-0.1672,-0.8986,-0.2925
0.1910,-0.1672,-0.8986,-0.2925
0.1910,-0.1672,-0.8986,-0.2925
0.1940,-0.1672,-0.8986,-0.2925
0.1940,-0.1672,-0.8986,-0.2925
0.2100,-0.1325,-0.9040,-0.2769
0.2100,-0.1325,-0.9040,-0.2769
0.2100,-0.1325,-0.9040,-0.2769
0.2300,-0.0946,-0.9272,-0.2923
0.2300,-0.0946,-0.9272,-0.2923
0.2300,-0.0946,-0.9272,-0.2923
0.2510,-0.0254,-0.9644,-0.3004
0.2520,-0.0254,-0.9644,-0.3004
0.2520,-0.0254,-0.9644,-0.3004
0.2710,-0.0254,-0.9644,-0.3004
0.2720,-0.0533,-0.9578,-0.2793
0.2720,-0.0533,-0.9578,-0.2793
0.2730,-0.0533,-0.9578,-0.2793
0.2740,-0.0533,-0.9578,-0.2793
0.2900,-0.0897,-0.9138,-0.2471
0.2910,-0.0897,-0.9138,-0.2471
0.2910,-0.0897,-0.9138,-0.2471
0.3070,-0.0897,-0.9138,-0.2471
0.3100,-0.0288,-0.9128,-0.2642
0.3100,-0.0288,-0.9128,-0.2642
0.3100,-0.0288,-0.9128,-0.2642
0.3300,-0.0186,-0.9326,-0.2757
0.3300,-0.0186,-0.9326,-0.2757
0.3310,-0.0186,-0.9326,-0.2757
0.3490,-0.0784,-0.9316,-0.2744
0.3500,-0.0784,-0.9316,-0.2744
0.3500,-0.0784,-0.9316,-0.2744
0.3530,-0.0784,-0.9316,-0.2744
0.3530,-0.0784,-0.9316,-0.2744
0.3690,-0.1061,-0.9221,-0.2605
0.3700,-0.1061,-0.9221,-0.2605
0.3700,-0.1061,-0.9221,-0.2605
0.3900,-0.1036,-0.9385,-0.2842
0.3900,-0.1036,-0.9385,-0.2842
0.3900,-0.1036,-0.9385,-0.2842
0.4090,-0.1149,-0.9473,-0.2920
0.4100,-0.1149,-0.9473,-0.2920
0.4100,-0.1149,-0.9473,-0.2920
0.4290,-0.1122,-0.9453,-0.2124
0.4300,-0.1122,-0.9453,-0.2124
0.4300,-0.1122,-0.9453,-0.2124
0.4330,-0.1122,-0.9453,-0.2124
0.4330,-0.1122,-0.9453,-0.2124
0.4500,-0.0675,-0.8774,-0.2537
0.4510,-0.0675,-0.8774,-0.2537
0.4510,-0.0675,-0.8774,-0.2537
0.4690,-0.0701,-0.8945,-0.3136
0.4690,-0.0701,-0.8945,-0.3136
0.4700,-0.0701,-0.8945,-0.3136
0.4890,-0.0689,-0.9333,-0.2967
0.4890,-0.0689,-0.9333,-0.2967
0.5290,-0.0689,-0.9333,-0.2967
0.5290,-0.0689,-0.9333,-0.2967
0.5290,-0.0880,-0.9275,-0.2757
0.5290,-0.0880,-0.9275,-0.2757
0.5300,-0.0880,-0.9275,-0.2757
0.5300,-0.0880,-0.9275,-0.2757
0.5300,-0.0880,-0.9275,-0.2757
0.5300,-0.0802,-0.9223,-0.2784
0.5310,-0.0802,-0.9223,-0.2784
0.5310,-0.0802,-0.9223,-0.2784
0.5490,-0.0552,-0.9289,-0.2784
0.5490,-0.0552,-0.9289,-0.2784
