
time,AccelerometerX,AccelerometerY,AccelerometerZ
0.0170,-0.8265,0.5970,-0.1738
0.0170,-0.8265,0.5970,-0.1738
0.0170,-0.8265,0.5970,-0.1738
0.0170,-0.8319,0.5904,-0.1691
0.0180,-0.8361,0.5785,-0.1769
0.0410,-0.8361,0.5785,-0.1769
0.0410,-0.8361,0.5785,-0.1769
0.0410,-0.8361,0.5785,-0.1769
0.0420,-0.8361,0.5904,-0.1752
0.0420,-0.8361,0.5904,-0.1752
0.0420,-0.8361,0.5904,-0.1752
0.0610,-0.8361,0.5904,-0.1752
0.0610,-0.8361,0.5904,-0.1752
0.0610,-0.8361,0.5904,-0.1752
0.0620,-0.8348,0.5961,-0.1686
0.0910,-0.8348,0.5961,-0.1686
0.0910,-0.8348,0.5961,-0.1686
0.0910,-0.8348,0.5961,-0.1686
0.0920,-0.8251,0.5868,-0.1647
0.0920,-0.8219,0.5816,-0.1669
0.1100,-0.8219,0.5816,-0.1669
0.1110,-0.8219,0.5816,-0.1669
0.1120,-0.8219,0.5816,-0.1669
0.1120,-0.8275,0.5885,-0.1757
0.1130,-0.8275,0.5885,-0.1757
0.1400,-0.8275,0.5885,-0.1757
0.1410,-0.8275,0.5885,-0.1757
0.1410,-0.8275,0.5885,-0.1757
0.1410,-0.8383,0.5868,-0.1750
0.1710,-0.8383,0.5868,-0.1750
0.1720,-0.8383,0.5868,-0.1750
0.1720,-0.8383,0.5868,-0.1750
0.1720,-0.8405,0.5824,-0.1735
0.1720,-0.8321,0.5782,-0.1784
0.1910,-0.8321,0.5782,-0.1784
0.1910,-0.8321,0.5782,-0.1784
0.1910,-0.8321,0.5782,-0.1784
0.1920,-0.8295,0.5843,-0.1804
0.1920,-0.8295,0.5843,-0.1804
0.2200,-0.8295,0.5843,-0.1804
0.2210,-0.8295,0.5843,-0.1804
0.2210,-0.8295,0.5843,-0.1804
0.2210,-0.8302,0.5799,-0.1782
0.2420,-0.8302,0.5799,-0.1782
0.2510,-0.8302,0.5799,-0.1782
0.2510,-0.8302,0.5799,-0.1782
0.2510,-0.8302,0.5799,-0.1782
0.2520,-0.8361,0.5829,-0.1794
0.2520,-0.8419,0.5814,-0.1828
0.2710,-0.8419,0.5814,-0.1828
0.2720,-0.8419,0.5814,-0.1828
0.2720,-0.8419,0.5814,-0.1828
0.2730,-0.8456,0.5790,-0.1777
0.2730,-0.8456,0.5790,-0.1777
0.3000,-0.8456,0.5790,-0.1777
0.3000,-0.8456,0.5790,-0.1777
0.3010,-0.8456,0.5790,-0.1777
0.3010,-0.8434,0.5785,-0.1782
0.3310,-0.8434,0.5785,-0.1782
0.3320,-0.8434,0.5785,-0.1782
0.3320,-0.8434,0.5785,-0.1782
0.3330,-0.8336,0.5785,-0.1848
0.3330,-0.8229,0.5741,-0.1762
0.3510,-0.8229,0.5741,-0.1762
0.3520,-0.8229,0.5741,-0.1762
0.3520,-0.8229,0.5741,-0.1762
0.3520,-0.8216,0.5790,-0.1889
0.3530,-0.8216,0.5790,-0.1889
0.3810,-0.8216,0.5790,-0.1889
0.3810,-0.8216,0.5790,-0.1889
0.3820,-0.8216,0.5790,-0.1889
0.3820,-0.8287,0.5880,-0.2031
0.4110,-0.8287,0.5880,-0.2031
0.4110,-0.8287,0.5880,-0.2031
0.4110,-0.8287,0.5880,-0.2031
0.4120,-0.8312,0.5785,-0.1923
0.4120,-0.8331,0.5711,-0.1730
0.4310,-0.8331,0.5711,-0.1730
0.4320,-0.8331,0.5711,-0.1730
0.4330,-0.8331,0.5711,-0.1730
0.4330,-0.8346,0.5792,-0.1684
0.4330,-0.8346,0.5792,-0.1684
0.4420,-0.8346,0.5792,-0.1684
0.4620,-0.8346,0.5792,-0.1684
0.4620,-0.8346,0.5792,-0.1684
0.4630,-0.8346,0.5792,-0.1684
0.4630,-0.8358,0.5882,-0.1830
0.4910,-0.8358,0.5882,-0.1830
0.4920,-0.8358,0.5882,-0.1830
0.4920,-0.8358,0.5882,-0.1830
0.4920,-0.8431,0.5878,-0.1840
0.4930,-0.8483,0.5834,-0.1791
0.5110,-0.8483,0.5834,-0.1791
0.5130,-0.8483,0.5834,-0.1791
0.5130,-0.8483,0.5834,-0.1791
0.5140,-0.8451,0.5826,-0.1855
0.5140,-0.8451,0.5826,-0.1855
0.5410,-0.8451,0.5826,-0.1855
0.5420,-0.8451,0.5826,-0.1855
0.5420,-0.8451,0.5826,-0.1855
0.5420,-0.8400,0.5790,-0.1926
0.5710,-0.8400,0.5790,-0.1926
0.5720,-0.8400,0.5790,-0.1926
0.5720,-0.8400,0.5790,-0.1926
0.5720,-0.8307,0.5768,-0.1926
0.5730,-0.8241,0.5780,-0.1921
0.5920,-0.8241,0.5780,-0.1921
0.5920,-0.8241,0.5780,-0.1921
0.5920,-0.8241,0.5780,-0.1921
0.5930,-0.8204,0.5824,-0.1892
0.5930,-0.8204,0.5824,-0.1892
0.6210,-0.8204,0.5824,-0.1892
0.6210,-0.8204,0.5824,-0.1892
0.6220,-0.8204,0.5824,-0.1892
0.6220,-0.8277,0.5882,-0.1967
0.6420,-0.8277,0.5882,-0.1967
0.6510,-0.8277,0.5882,-0.1967
0.6510,-0.8277,0.5882,-0.1967
0.6520,-0.8277,0.5882,-0.1967
0.6530,-0.8326,0.5887,-0.1894
0.6530,-0.8304,0.5816,-0.1794
0.6720,-0.8304,0.5816,-0.1794
0.6740,-0.8304,0.5816,-0.1794
0.6740,-0.8304,0.5816,-0.1794
0.6740,-0.8299,0.5829,-0.1860
0.6750,-0.8299,0.5829,-0.1860
0.7010,-0.8299,0.5829,-0.1860
0.7020,-0.8299,0.5829,-0.1860
0.7020,-0.8299,0.5829,-0.1860
0.7050,-0.8329,0.5858,-0.1928
0.7310,-0.8329,0.5858,-0.1928
0.7320,-0.8329,0.5858,-0.1928
0.7320,-0.8329,0.5858,-0.1928
0.7330,-0.8375,0.5863,-0.1872
0.7450,-0.8378,0.5887,-0.1818
0.7510,-0.8378,0.5887,-0.1818
0.7520,-0.8378,0.5887,-0.1818
0.7520,-0.8378,0.5887,-0.1818
0.7520,-0.8341,0.5863,-0.1747
0.7530,-0.8341,0.5863,-0.1747
0.7800,-0.8341,0.5863,-0.1747
0.7810,-0.8341,0.5863,-0.1747
0.7810,-0.8341,0.5863,-0.1747
0.7810,-0.8297,0.5868,-0.1777
0.8110,-0.8297,0.5868,-0.1777
0.8110,-0.8297,0.5868,-0.1777
0.8130,-0.8297,0.5868,-0.1777
0.8140,-0.8273,0.5812,-0.1816
0.8140,-0.8221,0.5809,-0.1855
0.8310,-0.8221,0.5809,-0.1855
0.8320,-0.8221,0.5809,-0.1855
0.8320,-0.8221,0.5809,-0.1855
0.8320,-0.8260,0.5863,-0.1901
0.8320,-0.8260,0.5863,-0.1901
0.8410,-0.8260,0.5863,-0.1901
0.8620,-0.8260,0.5863,-0.1901
0.8620,-0.8260,0.5863,-0.1901
0.8620,-0.8260,0.5863,-0.1901
0.8630,-0.8346,0.5897,-0.1818
0.8910,-0.8346,0.5897,-0.1818
0.8920,-0.8346,0.5897,-0.1818
0.8920,-0.8346,0.5897,-0.1818
0.8920,-0.8363,0.5922,-0.1762
0.8930,-0.8346,0.5892,-0.1752
0.9110,-0.8346,0.5892,-0.1752
0.9120,-0.8346,0.5892,-0.1752
0.9120,-0.8346,0.5892,-0.1752
0.9130,-0.8238,0.5834,-0.1821
0.9130,-0.8238,0.5834,-0.1821
0.9410,-0.8238,0.5834,-0.1821
0.9420,-0.8238,0.5834,-0.1821
0.9420,-0.8238,0.5834,-0.1821
0.9430,-0.8146,0.5843,-0.1796
0.9720,-0.8146,0.5843,-0.1796
0.9730,-0.8146,0.5843,-0.1796
0.9730,-0.8146,0.5843,-0.1796
0.9730,-0.8182,0.5900,-0.1828
0.9740,-0.8280,0.5926,-0.1728
0.9920,-0.8280,0.5926,-0.1728
0.9920,-0.8280,0.5926,-0.1728
0.9930,-0.8280,0.5926,-0.1728
0.9940,-0.8444,0.5917,-0.1728
0.9940,-0.8444,0.5917,-0.1728
1.0220,-0.8444,0.5917,-0.1728
1.0220,-0.8444,0.5917,-0.1728
1.0230,-0.8444,0.5917,-0.1728
1.0240,-0.8497,0.5875,-0.1774
1.0410,-0.8497,0.5875,-0.1774
1.0520,-0.8497,0.5875,-0.1774
1.0520,-0.8497,0.5875,-0.1774
1.0530,-0.8497,0.5875,-0.1774
1.0530,-0.8473,0.5880,-0.1877
1.0530,-0.8348,0.5851,-0.1806
1.0730,-0.8348,0.5851,-0.1806
1.0730,-0.8348,0.5851,-0.1806
1.0730,-0.8348,0.5851,-0.1806
1.0740,-0.8207,0.5819,-0.1784
1.0740,-0.8207,0.5819,-0.1784
1.1020,-0.8207,0.5819,-0.1784
1.1030,-0.8207,0.5819,-0.1784
1.1030,-0.8207,0.5819,-0.1784
1.1030,-0.8168,0.5848,-0.1874
1.1320,-0.8168,0.5848,-0.1874
1.1330,-0.8168,0.5848,-0.1874
1.1330,-0.8168,0.5848,-0.1874
1.1330,-0.8175,0.5929,-0.2004
1.1340,-0.8273,0.5975,-0.1936
1.1530,-0.8273,0.5975,-0.1936
1.1530,-0.8273,0.5975,-0.1936
1.1540,-0.8273,0.5975,-0.1936
1.1540,-0.8422,0.5953,-0.1816
1.1540,-0.8422,0.5953,-0.1816
1.1830,-0.8422,0.5953,-0.1816
1.1830,-0.8422,0.5953,-0.1816
1.1830,-0.8422,0.5953,-0.1816
1.1840,-0.8456,0.5865,-0.1674
1.2140,-0.8456,0.5865,-0.1674
1.2140,-0.8456,0.5865,-0.1674
1.2140,-0.8456,0.5865,-0.1674
1.2150,-0.8407,0.5804,-0.1635
1.2150,-0.8375,0.5794,-0.1669
1.2340,-0.8375,0.5794,-0.1669
1.2340,-0.8375,0.5794,-0.1669
1.2340,-0.8375,0.5794,-0.1669
1.2350,-0.8329,0.5772,-0.1681
1.2360,-0.8329,0.5772,-0.1681
1.2430,-0.8329,0.5772,-0.1681
1.2640,-0.8329,0.5772,-0.1681
1.2640,-0.8329,0.5772,-0.1681
1.2640,-0.8329,0.5772,-0.1681
1.2680,-0.8312,0.5748,-0.1782
1.2930,-0.8312,0.5748,-0.1782
1.2940,-0.8312,0.5748,-0.1782
1.2940,-0.8312,0.5748,-0.1782
1.3050,-0.8309,0.5777,-0.1916
1.3050,-0.8273,0.5792,-0.1887
1.3130,-0.8273,0.5792,-0.1887
1.3140,-0.8273,0.5792,-0.1887
1.3140,-0.8273,0.5792,-0.1887
1.3150,-0.8236,0.5750,-0.1791
1.3160,-0.8236,0.5750,-0.1791
1.3440,-0.8236,0.5750,-0.1791
1.3450,-0.8236,0.5750,-0.1791
1.3450,-0.8236,0.5750,-0.1791
1.3450,-0.8211,0.5812,-0.1811
1.3740,-0.8211,0.5812,-0.1811
1.3750,-0.8211,0.5812,-0.1811
1.3750,-0.8211,0.5812,-0.1811
1.3750,-0.8238,0.5944,-0.1926
1.3760,-0.8304,0.5966,-0.1904
1.3940,-0.8304,0.5966,-0.1904
1.3940,-0.8304,0.5966,-0.1904
1.3950,-0.8304,0.5966,-0.1904
