
time,AccelerometerX,AccelerometerY,AccelerometerZ
0.0110,-0.2070,1.0162,0.2153
0.0120,-0.2070,1.0162,0.2153
0.0120,-0.2070,1.0162,0.2153
0.0120,-0.2158,1.0172,0.2050
0.0240,-0.2158,1.0172,0.2050
0.0250,-0.2158,1.0172,0.2050
0.0250,-0.2158,1.0172,0.2050
0.0250,-0.2080,1.0301,0.1977
0.0260,-0.2080,1.0301,0.1977
0.0570,-0.2080,1.0301,0.1977
0.0570,-0.2080,1.0301,0.1977
0.0570,-0.2080,1.0301,0.1977
0.0580,-0.2046,1.0164,0.2156
0.0580,-0.2060,1.0096,0.2268
0.0820,-0.2060,1.0096,0.2268
0.0820,-0.2060,1.0096,0.2268
0.0820,-0.2060,1.0096,0.2268
0.0820,-0.2087,1.0184,0.2224
0.1040,-0.2087,1.0184,0.2224
0.1070,-0.2087,1.0184,0.2224
0.1070,-0.2087,1.0184,0.2224
0.1070,-0.2116,1.0176,0.2153
0.1080,-0.2116,1.0176,0.2153
0.1270,-0.2116,1.0176,0.2153
0.1350,-0.2116,1.0176,0.2153
0.1350,-0.2116,1.0176,0.2153
0.1360,-0.2116,1.0176,0.2153
0.1360,-0.2109,1.0179,0.2156
0.1370,-0.2097,1.0167,0.2134
0.1620,-0.2097,1.0167,0.2134
0.1630,-0.2097,1.0167,0.2134
0.1630,-0.2097,1.0167,0.2134
0.1640,-0.2112,1.0198,0.2119
0.1820,-0.2112,1.0198,0.2119
0.1830,-0.2112,1.0198,0.2119
0.1830,-0.2112,1.0198,0.2119
0.1840,-0.2102,1.0184,0.2109
0.1840,-0.2102,1.0184,0.2109
0.2140,-0.2102,1.0184,0.2109
0.2140,-0.2102,1.0184,0.2109
0.2150,-0.2102,1.0184,0.2109
0.2150,-0.2080,1.0181,0.2116
0.2150,-0.2087,1.0193,0.2109
0.2440,-0.2087,1.0193,0.2109
0.2440,-0.2087,1.0193,0.2109
0.2440,-0.2087,1.0193,0.2109
0.2450,-0.2077,1.0186,0.2119
0.2620,-0.2077,1.0186,0.2119
0.2630,-0.2077,1.0186,0.2119
0.2640,-0.2077,1.0186,0.2119
0.2640,-0.2068,1.0132,0.2146
0.2640,-0.2068,1.0132,0.2146
0.2960,-0.2068,1.0132,0.2146
0.2960,-0.2068,1.0132,0.2146
0.2960,-0.2068,1.0132,0.2146
0.2970,-0.2085,1.0098,0.2136
0.2970,-0.2112,1.0118,0.2102
0.3250,-0.2112,1.0118,0.2102
0.3250,-0.2112,1.0118,0.2102
0.3260,-0.2112,1.0118,0.2102
0.3260,-0.2114,1.0164,0.2077
